epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7281,1.89498,3.32313,1.92754,0.00121,0.22727,0.00253,0.00043,2.86974,4.86397,3.82893,0.0757,0.0027,0.0027
2,135.052,2.40986,3.39947,2.3675,0.0014,0.27273,0.00125,0.0003,3.20722,746.676,13.7547,0.0504455,0.00544555,0.00544555
3,206.404,2.48437,3.37513,2.48851,0.00057,0.13636,0.00062,0.00019,3.33834,6946.44,18.2431,0.0251357,0.00813566,0.00813566
4,285.931,2.64338,3.29323,2.66531,0,0,0,0,3.73498,16694.5,10.3776,0.009703,0.009703,0.009703
5,352.67,2.68023,3.21877,2.68063,0.5003,0.04545,0.00017,5e-05,4.08705,13546.2,25.7972,0.009604,0.009604,0.009604
6,414.283,2.56296,3.24679,2.61751,0,0,0,0,4.46269,15318.7,17.3639,0.009505,0.009505,0.009505
7,481.973,2.41088,3.03221,2.45351,0.50104,0.09091,0.00107,0.00036,3.44945,2696.69,6.66275,0.009406,0.009406,0.009406
8,557.604,2.42718,3.09142,2.47717,0.00144,0.22727,0.00111,0.00042,3.66529,1024.5,5.17961,0.009307,0.009307,0.009307
9,624.055,2.36389,3.0247,2.45747,0.00173,0.27273,0.0026,0.0011,3.22307,1026.74,8.98885,0.009208,0.009208,0.009208
10,678.271,2.26201,2.84348,2.36375,0.50201,0.13636,0.00146,0.00047,2.99886,924.909,7.28717,0.009109,0.009109,0.009109
11,729.937,2.15201,2.70698,2.22482,0.50189,0.31818,0.00148,0.00064,2.95532,990.802,9.97851,0.00901,0.00901,0.00901
12,782.951,2.28073,2.79137,2.36229,0.5034,0.13636,0.00215,0.00094,2.95247,154.105,8.41391,0.008911,0.008911,0.008911
13,837.914,2.17576,2.72107,2.26224,0.5031,0.18182,0.00241,0.00123,2.59223,87.7956,4.88021,0.008812,0.008812,0.008812
14,898.676,2.23839,2.67244,2.30054,0.50213,0.18182,0.00159,0.00053,3.05736,505.449,6.40503,0.008713,0.008713,0.008713
15,967.545,2.12486,2.74035,2.26567,0.0048,0.56818,0.00838,0.0015,3.14023,147.178,4.22136,0.008614,0.008614,0.008614
16,1032.57,2.18413,2.61595,2.27581,0.50196,0.18182,0.0016,0.0005,3.54677,317,6.28723,0.008515,0.008515,0.008515
17,1097.46,2.21795,2.60121,2.28753,0.50317,0.09091,0.00211,0.00069,3.02969,101.449,3.92659,0.008416,0.008416,0.008416
18,1151.94,2.15376,2.59557,2.23548,0.01452,0.31818,0.02628,0.00593,2.61114,20.0364,2.8594,0.008317,0.008317,0.008317
19,1209.17,2.07065,2.61915,2.23911,0.01894,0.13636,0.08655,0.0214,2.50231,15.3184,2.63918,0.008218,0.008218,0.008218
20,1271.7,2.08099,2.51375,2.11528,0.6209,0.13089,0.0973,0.03408,2.43076,7.43473,2.48702,0.008119,0.008119,0.008119
21,1346.33,2.03214,2.4926,2.14797,0.1249,0.13636,0.09429,0.03594,2.47849,5.93142,2.35966,0.00802,0.00802,0.00802
22,1412.02,1.89305,2.37391,2.03805,0.10225,0.27273,0.11989,0.05669,2.35744,5.34004,2.34162,0.007921,0.007921,0.007921
23,1463.99,1.96015,2.38445,2.12665,0.0676,0.13636,0.08944,0.0418,2.39043,4.66122,2.34219,0.007822,0.007822,0.007822
24,1517.47,2.02289,2.40589,2.11786,0.92088,0.09091,0.12031,0.05965,2.42749,2.6343,2.38733,0.007723,0.007723,0.007723
25,1574.59,2.04124,2.41075,2.12466,1,0.1351,0.15334,0.08594,2.41909,2.64879,2.07932,0.007624,0.007624,0.007624
26,1639.2,1.86527,2.28077,2.03081,0.62605,0.13636,0.12271,0.07534,2.58473,3.88165,2.5004,0.007525,0.007525,0.007525
27,1717.48,1.90183,2.29054,2.00768,0.58102,0.18182,0.07046,0.03132,2.7464,5.29818,2.66362,0.007426,0.007426,0.007426
28,1780.43,1.86826,2.25367,2.04914,0.58292,0.09091,0.08241,0.01904,2.34264,5.8445,2.46679,0.007327,0.007327,0.007327
29,1836.74,1.90914,2.23897,2.0266,0.61082,0.24636,0.1192,0.04539,2.19115,3.71397,2.33023,0.007228,0.007228,0.007228
30,1892.92,1.93862,2.36545,2.11122,0.85356,0.13636,0.18226,0.08001,2.09276,2.7166,2.22005,0.007129,0.007129,0.007129
31,1954.92,1.94403,2.3058,2.04841,0.86128,0.13636,0.17551,0.07518,2.24808,2.51588,2.31218,0.00703,0.00703,0.00703
32,2038.22,1.94285,2.42292,2.02224,0.63362,0.22727,0.17197,0.07865,2.50531,2.71733,2.49143,0.006931,0.006931,0.006931
33,2097.84,1.85942,2.19563,2.01796,0.7208,0.13636,0.15776,0.06527,2.46164,2.79685,2.40163,0.006832,0.006832,0.006832
34,2151.85,1.83459,2.13006,1.99299,0.86098,0.13636,0.18426,0.0738,2.33031,3.41537,2.25502,0.006733,0.006733,0.006733
35,2206,1.91721,2.30788,2.0392,0.64989,0.21466,0.13642,0.05911,2.24037,4.39191,2.18407,0.006634,0.006634,0.006634
36,2267.3,1.81321,2.12692,1.95502,0.61502,0.18182,0.10174,0.04152,2.20272,3.74751,2.09892,0.006535,0.006535,0.006535
37,2337.53,1.85615,2.18314,1.98481,0.825,0.18182,0.18868,0.08009,2.2578,2.81801,2.15895,0.006436,0.006436,0.006436
38,2397.19,1.79214,2.19954,1.90606,0.72791,0.13636,0.16091,0.05062,2.38276,3.26407,2.18877,0.006337,0.006337,0.006337
39,2448.16,1.7086,1.9994,1.81572,0.65117,0.22727,0.17257,0.05944,2.404,3.18176,2.20342,0.006238,0.006238,0.006238
40,2508.93,1.79355,2.11951,1.9214,0.76315,0.13636,0.19063,0.05086,2.32245,2.90348,2.15983,0.006139,0.006139,0.006139
41,2563.8,1.74273,2.0393,1.89929,0.78138,0.13636,0.22415,0.07543,2.40078,2.41956,2.17406,0.00604,0.00604,0.00604
42,2626.8,1.71629,2.06766,1.86697,0.96784,0.09091,0.17409,0.0527,2.45333,2.55116,2.18148,0.005941,0.005941,0.005941
43,2701.31,1.74455,2.16071,1.96226,0.56809,0.18182,0.06983,0.02177,2.40093,3.41453,2.18071,0.005842,0.005842,0.005842
44,2761.73,1.65276,1.95063,1.79269,0.6538,0.09091,0.08286,0.03401,2.21941,3.68488,2.05916,0.005743,0.005743,0.005743
45,2813.43,1.74574,1.98237,1.8759,0.88708,0.18182,0.20784,0.08829,2.31749,2.92878,2.23902,0.005644,0.005644,0.005644
46,2868.18,1.79981,2.02,1.98518,0.91644,0.22664,0.24525,0.08152,2.42243,2.41714,2.29883,0.005545,0.005545,0.005545
47,2929.62,1.79439,2.09272,1.89577,0.88116,0.18182,0.2339,0.0773,2.40656,2.34198,2.25226,0.005446,0.005446,0.005446
48,2999.71,1.70351,2.00923,1.89829,0.91207,0.21472,0.26991,0.10196,2.35631,2.4126,2.17697,0.005347,0.005347,0.005347
49,3068.13,1.78218,1.94547,1.93317,0.8817,0.22727,0.2485,0.12324,2.16377,2.54878,2.02697,0.005248,0.005248,0.005248
50,3122.09,1.66485,1.68083,1.81224,0.8185,0.18182,0.23308,0.11045,2.11646,2.80986,2.08494,0.005149,0.005149,0.005149
51,3173.83,1.76783,1.91162,1.86264,0.78898,0.18737,0.23076,0.09364,2.20439,3.36747,2.18161,0.00505,0.00505,0.00505
52,3229.51,1.67798,1.82279,1.8675,0.74428,0.18182,0.19429,0.05719,2.28691,3.81,2.2161,0.004951,0.004951,0.004951
53,3288.06,1.79918,1.97127,1.92154,0.72728,0.13636,0.1832,0.06391,2.36684,3.53779,2.2242,0.004852,0.004852,0.004852
54,3354.64,1.72009,1.97015,1.8564,0.95321,0.13636,0.21967,0.07899,2.2183,2.81645,2.122,0.004753,0.004753,0.004753
55,3419.06,1.51111,1.65906,1.74173,0.9764,0.22727,0.28148,0.12365,2.1057,2.96455,2.05725,0.004654,0.004654,0.004654
56,3473.14,1.59639,1.74809,1.76591,0.93008,0.27273,0.3049,0.15013,1.91822,2.82161,1.92751,0.004555,0.004555,0.004555
57,3525.85,1.57114,1.77214,1.70899,0.86327,0.24288,0.27104,0.12867,2.01346,2.7617,1.99457,0.004456,0.004456,0.004456
58,3579.84,1.75192,1.90959,1.89793,0.69238,0.22727,0.20255,0.07394,2.1156,2.86542,2.06494,0.004357,0.004357,0.004357
59,3639.52,1.50582,1.66618,1.73026,0.60668,0.22727,0.15894,0.06857,2.1419,3.21242,2.08537,0.004258,0.004258,0.004258
60,3709.16,1.57987,1.7402,1.75397,0.85812,0.13636,0.189,0.06693,2.27413,3.0794,2.39064,0.004159,0.004159,0.004159
61,3788.64,1.61097,1.77376,1.74215,0.7133,0.18182,0.16297,0.05717,2.23279,2.93976,2.43471,0.00406,0.00406,0.00406
62,3840.57,1.49896,1.71062,1.76784,0.74556,0.18182,0.16809,0.05996,2.21023,2.85825,2.45738,0.003961,0.003961,0.003961
63,3891.82,1.582,1.67462,1.68433,0.80016,0.18182,0.16354,0.05593,2.3599,2.83995,2.51659,0.003862,0.003862,0.003862
64,3949.72,1.54712,1.70348,1.73063,0.82203,0.22727,0.21064,0.07406,2.53973,2.57769,2.58736,0.003763,0.003763,0.003763
65,4010.28,1.72827,1.80223,1.91458,0.79773,0.22727,0.25818,0.10574,2.40171,2.3684,2.45054,0.003664,0.003664,0.003664
66,4079.06,1.64798,1.70403,1.76402,0.77393,0.22727,0.31554,0.12676,2.16801,2.44379,2.14025,0.003565,0.003565,0.003565
67,4143.82,1.56541,1.6529,1.76857,0.84461,0.18182,0.29352,0.13503,2.06005,2.52454,2.02437,0.003466,0.003466,0.003466
68,4195.49,1.58485,1.7661,1.7565,1,0.18048,0.27349,0.13591,1.95599,2.37884,1.96045,0.003367,0.003367,0.003367
69,4245.23,1.5617,1.67207,1.7802,0.46296,0.56818,0.51337,0.22927,1.98555,1.88749,1.97075,0.003268,0.003268,0.003268
70,4299.35,1.56084,1.57008,1.74558,0.48233,0.56818,0.58494,0.23804,2.17006,2.06884,2.13467,0.003169,0.003169,0.003169
71,4355.59,1.3628,1.46539,1.62048,0.43137,0.61364,0.57355,0.2345,2.16454,2.16972,2.15868,0.00307,0.00307,0.00307
72,4419.42,1.53567,1.61258,1.72024,0.79112,0.31818,0.5504,0.20389,2.32246,2.13975,2.33496,0.002971,0.002971,0.002971
73,4490.92,1.41544,1.37829,1.60376,0.85414,0.27273,0.55228,0.15073,2.41292,2.10589,2.42975,0.002872,0.002872,0.002872
74,4547.23,1.46919,1.47713,1.6759,0.77173,0.27273,0.32644,0.10111,2.32257,2.02374,2.3373,0.002773,0.002773,0.002773
75,4598,1.51552,1.60467,1.68521,0.86085,0.27273,0.33598,0.11299,2.31488,1.93312,2.28443,0.002674,0.002674,0.002674
76,4649.89,1.4659,1.48925,1.72624,0.80898,0.31818,0.31224,0.11727,2.28387,2.00039,2.23437,0.002575,0.002575,0.002575
77,4725.27,1.47056,1.53295,1.60965,0.80126,0.36364,0.37828,0.1404,2.22774,1.78503,2.17234,0.002476,0.002476,0.002476
78,4796.4,1.55631,1.67676,1.79634,0.87219,0.36364,0.36416,0.13658,2.2855,1.63964,2.16002,0.002377,0.002377,0.002377
79,4859.81,1.41895,1.36674,1.57382,0.87076,0.27273,0.34655,0.13844,2.29385,1.7236,2.18019,0.002278,0.002278,0.002278
80,4912.04,1.50296,1.57903,1.67763,0.72507,0.27273,0.24494,0.10508,2.15484,2.33393,2.11343,0.002179,0.002179,0.002179
81,4966.25,1.59625,1.48118,1.71019,0.72983,0.27082,0.36028,0.13332,1.94823,2.88533,2.01901,0.00208,0.00208,0.00208
82,5023.62,1.57789,1.45107,1.73478,0.74865,0.22727,0.3699,0.14366,1.79438,2.64869,1.88013,0.001981,0.001981,0.001981
83,5088.48,1.45329,1.48781,1.62801,0.8473,0.22727,0.4013,0.15726,1.75402,2.46847,1.86041,0.001882,0.001882,0.001882
84,5154.84,1.51771,1.59009,1.69943,1,0.26259,0.49193,0.20821,1.74296,2.15591,1.82538,0.001783,0.001783,0.001783
85,5213.34,1.40776,1.39636,1.602,0.97012,0.22727,0.54494,0.22583,1.83444,2.27115,1.85961,0.001684,0.001684,0.001684
86,5265.39,1.48351,1.46344,1.65339,1,0.21229,0.53175,0.20022,1.95148,2.38266,1.92654,0.001585,0.001585,0.001585
87,5324.25,1.42069,1.31311,1.57197,0.74143,0.27273,0.42357,0.14876,2.0048,2.47004,1.97124,0.001486,0.001486,0.001486
88,5385.42,1.42382,1.41567,1.56555,0.76177,0.27273,0.42949,0.16213,2.00506,2.49375,1.9207,0.001387,0.001387,0.001387
89,5451.2,1.4794,1.41629,1.69919,0.82983,0.27273,0.39542,0.16642,1.9235,2.28785,1.82015,0.001288,0.001288,0.001288
90,5505.23,1.35971,1.32695,1.52983,1,0.2554,0.36318,0.16238,1.93401,2.01659,1.811,0.001189,0.001189,0.001189
91,5564.19,1.35172,1.38164,1.59381,1,0.26183,0.36237,0.1708,1.9104,1.98705,1.7987,0.00109,0.00109,0.00109
92,5628.24,1.30968,1.33271,1.5976,1,0.26306,0.36257,0.16893,1.89277,1.9617,1.79361,0.000991,0.000991,0.000991
93,5705.23,1.32209,1.28684,1.62129,0.92233,0.22727,0.33704,0.16481,1.89581,1.92777,1.80887,0.000892,0.000892,0.000892
94,5770.91,1.29319,1.35721,1.62761,0.8971,0.27273,0.31065,0.15406,1.93465,2.0025,1.84575,0.000793,0.000793,0.000793
95,5824.44,1.3099,1.26787,1.56523,0.78568,0.27273,0.29034,0.14357,1.95382,2.10558,1.86362,0.000694,0.000694,0.000694
96,5881.01,1.3206,1.26164,1.5729,0.80832,0.22727,0.28686,0.13143,2.00436,2.26808,1.90303,0.000595,0.000595,0.000595
97,5940.09,1.33538,1.25386,1.6194,0.69516,0.31818,0.27875,0.12787,2.00993,2.88265,1.92129,0.000496,0.000496,0.000496
98,6050.5,1.2764,1.18606,1.55125,0.70118,0.31818,0.29916,0.12016,2.00034,3.11435,1.92271,0.000397,0.000397,0.000397
99,6156.89,1.31142,1.23613,1.63491,0.69999,0.31818,0.32021,0.12851,1.97461,3.10543,1.89586,0.000298,0.000298,0.000298
100,6230.39,1.25052,1.21503,1.5293,0.69634,0.31818,0.31413,0.12751,2.00884,3.23893,1.96377,0.000199,0.000199,0.000199
