epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5845,2.16429,3.10512,2.23773,0.0003,0.08442,0.00025,8e-05,3.91481,inf,22.5054,0.0705085,0.00327684,0.00327684
2,76.4226,2.14045,2.9204,2.25291,0.00382,0.37338,0.00356,0.00135,2.41686,inf,3.54318,0.0404823,0.00658399,0.00658399
3,112.785,2.04296,2.81221,2.16311,0.00796,0.18099,0.0035,0.00087,2.92723,inf,4.91966,0.0104297,0.00986475,0.00986475
4,149.335,1.96915,2.69525,2.10729,0.14603,0.11877,0.08389,0.02148,2.78839,62.8954,3.41436,0.0098812,0.0098812,0.0098812
5,185.477,1.91396,2.60313,2.04541,0.20337,0.31327,0.14443,0.04446,2.40199,3.97863,2.48393,0.0098416,0.0098416,0.0098416
6,221.586,1.90681,2.603,2.03314,0.64117,0.1039,0.07266,0.02192,2.62937,4.19062,2.68844,0.009802,0.009802,0.009802
7,258.146,1.86186,2.47464,1.99277,0.19682,0.17803,0.10141,0.02931,2.49608,3.15305,2.48691,0.0097624,0.0097624,0.0097624
8,295.424,1.81825,2.40559,1.95033,0.35998,0.32301,0.26428,0.08597,2.21941,2.70875,2.20321,0.0097228,0.0097228,0.0097228
9,332.674,1.79087,2.3508,1.92527,0.20212,0.3514,0.18287,0.05037,2.45213,3.09034,2.5673,0.0096832,0.0096832,0.0096832
10,369.724,1.79058,2.35102,1.91343,0.24057,0.283,0.23301,0.06095,2.31103,2.28542,2.2677,0.0096436,0.0096436,0.0096436
11,407.581,1.77052,2.28039,1.88452,0.26947,0.27332,0.19971,0.05812,2.50998,3.22522,2.44612,0.009604,0.009604,0.009604
12,442.659,1.75194,2.24302,1.8789,0.38786,0.32301,0.27012,0.07304,2.36554,2.93051,2.31415,0.0095644,0.0095644,0.0095644
13,477.66,1.75772,2.27132,1.85827,0.25943,0.34302,0.20835,0.06018,2.28599,2.53042,2.21565,0.0095248,0.0095248,0.0095248
14,512.743,1.71028,2.18203,1.81729,0.41279,0.31986,0.24777,0.1009,2.0526,2.37913,2.07445,0.0094852,0.0094852,0.0094852
15,548.628,1.68337,2.18498,1.80192,0.48686,0.30217,0.3422,0.11206,2.08658,2.12745,2.09152,0.0094456,0.0094456,0.0094456
16,584.886,1.67904,2.15919,1.81733,0.38209,0.22545,0.23682,0.09632,2.05201,3.20473,2.03261,0.009406,0.009406,0.009406
17,620.873,1.67991,2.16683,1.80448,0.40572,0.35737,0.31648,0.10661,2.0818,2.26288,2.06452,0.0093664,0.0093664,0.0093664
18,656.187,1.66901,2.17868,1.79792,0.34517,0.24143,0.19184,0.04384,2.4425,3.69318,2.5157,0.0093268,0.0093268,0.0093268
19,692.252,1.66198,2.09819,1.77098,0.42872,0.39052,0.38284,0.13664,1.94613,2.4986,1.94042,0.0092872,0.0092872,0.0092872
20,727.567,1.64617,2.06162,1.76468,0.54287,0.38229,0.36556,0.144,1.80595,2.08603,1.80563,0.0092476,0.0092476,0.0092476
21,763.577,1.64114,2.06106,1.76055,0.35338,0.36618,0.31706,0.12474,1.99343,2.48537,1.95933,0.009208,0.009208,0.009208
22,798.687,1.63172,2.0607,1.74307,0.40638,0.30897,0.29877,0.09223,2.19916,2.16725,2.21089,0.0091684,0.0091684,0.0091684
23,834.574,1.61192,2.01285,1.73808,0.48961,0.41475,0.41035,0.16324,1.93784,1.9267,1.8715,0.0091288,0.0091288,0.0091288
24,870.035,1.6005,2.00068,1.71433,0.4074,0.37036,0.30404,0.10012,2.15801,2.25138,2.18918,0.0090892,0.0090892,0.0090892
25,906.068,1.59527,1.99924,1.72151,0.29347,0.34385,0.23777,0.0831,2.19365,2.04849,2.21135,0.0090496,0.0090496,0.0090496
26,941.406,1.58785,1.94427,1.70501,0.4872,0.37768,0.4011,0.16527,1.83172,1.9106,1.86076,0.00901,0.00901,0.00901
27,977.119,1.59247,1.93767,1.71616,0.51365,0.48588,0.46348,0.208,1.76325,1.88875,1.70368,0.0089704,0.0089704,0.0089704
28,1013.25,1.57228,1.92879,1.69291,0.54846,0.44589,0.47076,0.19209,1.84421,1.71217,1.81273,0.0089308,0.0089308,0.0089308
29,1049.64,1.57184,1.91316,1.68775,0.49767,0.36469,0.40562,0.14112,2.03414,1.74553,1.96881,0.0088912,0.0088912,0.0088912
30,1085.09,1.56335,1.92531,1.6806,0.55061,0.54591,0.50318,0.155,2.1428,2.01625,2.07476,0.0088516,0.0088516,0.0088516
31,1121.7,1.55931,1.93945,1.68162,0.50062,0.39686,0.43059,0.2198,1.61004,1.55238,1.62528,0.008812,0.008812,0.008812
32,1156.98,1.54823,1.88441,1.66145,0.57611,0.43257,0.46912,0.15808,2.0402,1.70875,2.01913,0.0087724,0.0087724,0.0087724
33,1193.07,1.55693,1.88309,1.66093,0.60521,0.46693,0.49414,0.20958,1.73222,1.51808,1.69235,0.0087328,0.0087328,0.0087328
34,1229.22,1.5452,1.85246,1.683,0.48845,0.44503,0.46478,0.20234,1.75919,1.74222,1.72193,0.0086932,0.0086932,0.0086932
35,1265.37,1.53507,1.84262,1.66862,0.45326,0.51102,0.42483,0.17375,1.80946,1.73875,1.78264,0.0086536,0.0086536,0.0086536
36,1301.18,1.55556,1.8538,1.67123,0.59884,0.52003,0.53272,0.20195,1.85404,1.55682,1.82636,0.008614,0.008614,0.008614
37,1336.61,1.5014,1.82399,1.6425,0.58716,0.49266,0.50178,0.18043,1.95615,1.73162,2.0023,0.0085744,0.0085744,0.0085744
